name,school_name,local_path
Joseph Demer,UCLA,Joseph Demer.jpg
Samson Chow,UCLA,Samson Chow.jpg
Tom Chou,UCLA,Tom Chou.jpg
Yong Chen,UCLA,Yong Chen.jpg
Robert Candler,UCLA,Robert Candler.jpg
Gregory Carman,UCLA,Gregory Carman.jpg
Danijela Cabric,UCLA,Danijela Cabric.jpg
Aydin Babakhani,UCLA,Aydin Babakhani.png
Abeer Alwan,UCLA,Abeer Alwan.jpg
Asad A. Abidi,UCLA,Asad A. Abidi.jpg
Alex Bui,UCLA,Alex Bui.jpg
Louis Bouchard,UCLA,Louis Bouchard.jpg
Douglas Black,UCLA,Douglas Black.jpg
James Bisley,UCLA,James Bisley.jpg
Peyman Benharash,UCLA,Peyman Benharash.jpg
Marvin Bergsnider,UCLA,Marvin Bergsnider.jpg
Yang Yang,UCLA,Yang Yang.png
Cun Yu Wang,UCLA,Cun Yu Wang.jpg
Michael Teitell,UCLA,Michael Teitell.jpg
Yi Tang,UCLA,Yi Tang.jpg
Ren Sun,UCLA,Ren Sun.jpg
Kalyanam Shivkumar,UCLA,Kalyanam Shivkumar.png
Jacob Rosen,UCLA,Jacob Rosen.jpg
Aydogan Ozcan,UCLA,Aydogan Ozcan.jpg
Debiao Li,UCLA,Debiao Li.jpg
Chang-Jin “CJ” Kim,UCLA,Chang-Jin “CJ” Kim.jpg
Pirouz Kavehpour,UCLA,Pirouz Kavehpour.jpg
Bahram Jalali,UCLA,Bahram Jalali.png
Tzung Hsiai,UCLA,Tzung Hsiai.jpg
Chih-Ming Ho,UCLA,Chih-Ming Ho.jpg
Robin Garrell,UCLA,Robin Garrell.jpg
Linda Demer,UCLA,Linda Demer.jpg
Mark Cohen,UCLA,Mark Cohen.jpg
Pei-Yu “Eric” Chiou,UCLA,Pei-Yu “Eric” Chiou.jpg
Denise Aberle,UCLA,Denise Aberle.jpg
Benjamin Wu,UCLA,Benjamin Wu.jpg
Gerard Wong,UCLA,Gerard Wong.jpg
Stephanie Seidlits,UCLA,Stephanie Seidlits.jpg
Jacob Schmidt,UCLA,Jacob Schmidt.jpg
Aaron Meyer,UCLA,Aaron Meyer.jpg
Wentai Liu,UCLA,Wentai Liu.jpg
Song Li,UCLA,Song Li.jpg
Andrea Kasko,UCLA,Andrea Kasko.png
Daniel Kamei,UCLA,Daniel Kamei.jpg
Dino Di Carlo,UCLA,Dino Di Carlo.jpg
Ali Abbas,USC,Ali Abbas.jpg
Mohamed Abid,USC,Mohamed Abid.jpg
Inna Abramova,USC,Inna Abramova.png
